Location,Building,Floor,Room,ID
Science Park,A,1,A1.04,645.A A1.04
Science Park,A,1,A1.06,645.A A1.06
Science Park,A,1,A1.08,645.A A1.08
Science Park,A,1,A1.10,645.A A1.10
Science Park,A,1,A1.12,645.A A1.12
Science Park,A,1,A1.14,645.A A1.14
Science Park,A,1,A1.18,645.A A1.18
Science Park,B,0,B0.203,645.B B0.203
Science Park,C,0,C0.05,645.C C0.05
Science Park,C,0,C0.110,645.C C0.110
Science Park,D,1,D1.116,645.D D1.116
Science Park,D,1,D1.111,645.D D1.111
Science Park,D,1,D1.162,645.D D1.162
Science Park,F,2,F2.04,650 F2.04
Science Park,G,2,G2.10,630 G2.10
Science Park,G,2,G2.13,630 G2.13
Science Park,G,3,G3.10,630 G3.10
Science Park,G,5,G5.29,630 G5.29
Science Park,H,0,H0.08,644 H0.08
Science Park,LAB42,0,L0.06,648.L L0.06
Science Park,LAB42,1,L1.01,648.L L1.01
Science Park,LAB42,1,L1.02,648.L L1.02
Science Park,LAB42,2,L2.06,648.L L2.06
Science Park,LAB42,2,L2.07,648.L L2.07
Oudemanhuispoort,D,0,D0.09,110.D D0.09
Oudemanhuispoort,D,0,D0.08,110.D D0.08
Oudemanhuispoort,C,1,C1.23,110.C C1.23
Binnengasthuis,Building 2,0,0.02,234 0.02
Roeterseiland,C,1,C1.03,320.C C1.03
Roeterseiland,C,1,C1.04,320.C C1.04